Date,Open,High,Low,Close,Adj Close,Volume
3/11/2022,13479.69043,13943.96973,13407.96973,13628.11035,13628.11035,130836100
3/14/2022,13827.21973,14082.05957,13815.79981,13929.11035,13929.11035,118949300
3/15/2022,13768.44043,13974.83984,13577.80957,13917.26953,13917.26953,101279000
3/16/2022,14245.76953,14553.09961,14183.25977,14440.74023,14440.74023,138610100
3/17/2022,14500.04981,14509.23047,14243.94043,14388.05957,14388.05957,96870400
3/18/2022,14374.41016,14413.08984,14109.79004,14413.08984,14413.08984,181197700
3/21/2022,14385.82031,14457.29981,14306.25977,14326.96973,14326.96973,69806300
3/22/2022,14365.66992,14508.00977,14343.33984,14473.2002,14473.2002,79554100
3/23/2022,14532.83984,14539.30957,14226.42969,14283.65039,14283.65039,76384100
3/24/2022,14305.79981,14375.82031,14187.82031,14273.79004,14273.79004,77315500
3/25/2022,14332.25977,14428.03027,14247.37988,14305.75977,14305.75977,73042400
3/28/2022,14376,14627.58008,14371.90039,14417.37012,14417.37012,70588000
3/29/2022,14592.74023,14925.25,14553.70996,14820.33008,14820.33008,99659400
3/30/2022,14712.32031,14744.71973,14555.87012,14606.04981,14606.04981,76506500
3/31/2022,14674.83008,14732,14404.03027,14414.75,14414.75,88194400
4/1/2022,14447.78027,14506.01953,14403.08984,14446.48047,14446.48047,72477600
4/4/2022,14503.95996,14535.07031,14334.09961,14518.16016,14518.16016,69362800
4/5/2022,14504.79981,14603.44043,14347.33008,14424.36035,14424.36035,79130600
4/6/2022,14402.16016,14437.91016,14027.17969,14151.69043,14151.69043,104304600
4/7/2022,14187.12988,14315.34961,14069.53027,14078.15039,14078.15039,84791200
4/8/2022,14275.87012,14321.82031,14178.28027,14283.66992,14283.66992,74244800
4/11/2022,14162.96973,14298.01953,14094.83008,14192.78027,14192.78027,69814800
4/12/2022,13956.55957,14180.08984,13887.11035,14124.9502,14124.9502,104676200
4/13/2022,14062.7002,14100.03027,13961.9502,14076.44043,14076.44043,80458200
4/14/2022,14098.48047,14198.78027,14038.29981,14163.84961,14163.84961,87530500
4/19/2022,14057.42969,14199.08984,13991.7002,14153.45996,14153.45996,70608100
4/20/2022,14154.48047,14362.03027,14149.67969,14362.03027,14362.03027,75486900
4/21/2022,14376.04981,14598.11035,14374.58984,14502.41016,14502.41016,78397500
4/22/2022,14320.50977,14372.46973,14142.08984,14142.08984,14142.08984,82415500
4/25/2022,13908.04981,14037.62988,13863.38965,13924.16992,13924.16992,85275400
4/26/2022,14087.08008,14112.83984,13749.67969,13756.40039,13756.40039,98346100
4/27/2022,13760.21973,13849.42969,13566.2002,13793.94043,13793.94043,134621900
4/28/2022,13907.05957,14074.70996,13822.16016,13979.83984,13979.83984,97665400
4/29/2022,14095.92969,14187.01953,14038.54981,14097.87988,14097.87988,102033100
5/2/2022,13996.82031,14036.11035,13778.12988,13939.07031,13939.07031,85974500
5/3/2022,13958.91992,14081.15039,13920.45996,14039.46973,14039.46973,86472700
5/4/2022,14020.90039,14073.20996,13970.62012,13970.82031,13970.82031,71631100
5/5/2022,14282.76953,14315.24023,13857.58008,13902.51953,13902.51953,86031700
5/6/2022,13832.65039,13851.4502,13592.15039,13674.29004,13674.29004,96547800
5/9/2022,13624.91992,13697.90039,13380.66992,13380.66992,13380.66992,82759800
5/10/2022,13550.01953,13719.9502,13514.49023,13534.74023,13534.74023,84927900
5/11/2022,13587.29004,13829.09961,13508.55957,13828.63965,13828.63965,107719800
5/12/2022,13512.12988,13808.08984,13479.36035,13739.63965,13739.63965,110587600
5/13/2022,13837.41992,14034.15039,13795.63965,14027.92969,14027.92969,90805300
5/16/2022,13986.16992,14043.09961,13864.9502,13964.37988,13964.37988,67914800
5/17/2022,14072.66992,14203.08984,14056.98047,14185.94043,14185.94043,71183700
5/18/2022,14197.17969,14226.46973,13999.54004,14007.75977,14007.75977,69356900
5/19/2022,13822.34961,13882.29981,13683.58984,13882.29981,13882.29981,82304500
5/20/2022,13968.25977,14161.32031,13944.16016,13981.91016,13981.91016,83084600
5/23/2022,14179.83984,14217.48047,14026.13965,14175.40039,14175.40039,60577400
5/24/2022,14043.21973,14105.05957,13917.08008,13919.75,13919.75,70956400
5/25/2022,14022.26953,14053.58984,13871.48047,14007.92969,14007.92969,64007200
5/26/2022,14025.44043,14253.61035,14025.44043,14231.29004,14231.29004,57436000
5/27/2022,14289.53027,14463.5,14246.83008,14462.19043,14462.19043,71341500
5/30/2022,14572.79981,14589.4502,14509.58008,14575.98047,14575.98047,54721200
5/31/2022,14513.33984,14547.08984,14359.38965,14388.34961,14388.34961,146716000
6/1/2022,14478.37012,14489,14329.50977,14340.46973,14340.46973,68008900
6/2/2022,14394.36035,14492.78027,14393.04004,14485.16992,14485.16992,50049600
6/3/2022,14585.17969,14589.91016,14443.11035,14460.08984,14460.08984,46395500
6/6/2022,14576.87012,14709.37988,14548.25977,14653.80957,14653.80957,38135700
6/7/2022,14569.29981,14590.69043,14458.33984,14556.62012,14556.62012,51840700
6/8/2022,14595.78027,14602.05957,14378.5,14445.99023,14445.99023,61851500
6/9/2022,14364.58984,14420.73047,14186.92969,14198.79981,14198.79981,64865200
6/10/2022,14110.03027,14121.07031,13749.76953,13761.83008,13761.83008,89335800
6/13/2022,13564.46973,13648.83984,13379.87012,13427.03027,13427.03027,91214200
6/14/2022,13557.44043,13569.92969,13294,13304.38965,13304.38965,78302700
6/15/2022,13480.5,13566.79981,13358.40039,13485.29004,13485.29004,80763200
6/16/2022,13440.42969,13443.32031,13007.91016,13038.49023,13038.49023,104048800
6/17/2022,13092.84961,13237.7002,13020.41992,13126.25977,13126.25977,190391800
6/20/2022,13207.79004,13265.59961,13106.37988,13265.59961,13265.59961,54602700
6/21/2022,13335.15039,13443.76953,13273.2002,13292.40039,13292.40039,64763900
6/22/2022,13062.25977,13206.11035,12965.69043,13144.28027,13144.28027,76135600
6/23/2022,13082.62012,13120.30957,12912.58984,12912.58984,12912.58984,99254200
6/24/2022,12949.87012,13160.70996,12904.86035,13118.12988,13118.12988,95705800
6/27/2022,13217.90039,13378.41992,13126.86035,13186.07031,13186.07031,69024800
6/28/2022,13264.62012,13358.62012,13221.04004,13231.82031,13231.82031,61092900
6/29/2022,13089.99023,13132.36035,12946.75977,13003.34961,13003.34961,70350700
6/30/2022,12795.21973,12811.42969,12618.67969,12783.76953,12783.76953,114222900
7/1/2022,12627.66016,12894.37988,12623.23047,12813.03027,12813.03027,80285900
7/4/2022,12904.08984,12919.7002,12741.62988,12773.37988,12773.37988,52500200
7/5/2022,12851.29004,12870.24023,12390.9502,12401.2002,12401.2002,90489700
7/6/2022,12587.54981,12668.67969,12509.21973,12594.51953,12594.51953,78681400
7/7/2022,12757.62988,12867.70996,12693.65039,12843.21973,12843.21973,79392500
