Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,9598.25,9620.929688,9394.209961,9400.040039,9400.040039,90956900.0
2014-01-03,9409.660156,9453.480469,9367.990234,9435.150391,9435.150391,58772900.0
2014-01-06,9419.44043,9468.799805,9399.80957,9428.0,9428.0,53653700.0
2014-01-07,9446.25,9518.719727,9416.860352,9506.200195,9506.200195,79946800.0
2014-01-08,9512.790039,9516.259766,9467.950195,9497.839844,9497.839844,90140400.0
2014-01-09,9492.240234,9549.5,9402.799805,9421.610352,9421.610352,98917000.0
2014-01-10,9473.870117,9529.700195,9441.25,9473.240234,9473.240234,96130400.0
2014-01-13,9497.919922,9519.299805,9457.30957,9510.169922,9510.169922,85787700.0
2014-01-14,9391.459961,9540.509766,9381.94043,9540.509766,9540.509766,104777800.0
2014-01-15,9590.570313,9747.400391,9582.099609,9733.80957,9733.80957,120099000.0
2014-01-16,9742.209961,9747.370117,9702.969727,9717.709961,9717.709961,87811900.0
2014-01-17,9718.200195,9789.889648,9709.139648,9742.959961,9742.959961,131098100.0
2014-01-20,9713.200195,9733.400391,9672.320313,9715.900391,9715.900391,78126100.0
2014-01-21,9751.980469,9794.049805,9714.019531,9730.120117,9730.120117,80839600.0
2014-01-22,9752.110352,9765.629883,9677.139648,9720.110352,9720.110352,84234100.0
2014-01-23,9690.509766,9728.780273,9596.490234,9631.040039,9631.040039,98660400.0
2014-01-24,9646.650391,9664.240234,9374.080078,9392.019531,9392.019531,125916200.0
2014-01-27,9389.169922,9402.719727,9310.990234,9349.219727,9349.219727,112554100.0
2014-01-28,9405.530273,9427.589844,9345.759766,9406.910156,9406.910156,99322000.0
2014-01-29,9507.349609,9537.629883,9221.299805,9336.730469,9336.730469,126384200.0
2014-01-30,9343.509766,9415.480469,9266.950195,9373.480469,9373.480469,97748700.0
2014-01-31,9339.839844,9346.790039,9166.049805,9306.480469,9306.480469,126856500.0
2014-02-03,9318.769531,9357.580078,9173.55957,9186.519531,9186.519531,105545400.0
2014-02-04,9126.459961,9166.980469,9071.25,9127.910156,9127.910156,114598200.0
2014-02-05,9105.280273,9154.719727,9080.870117,9116.320313,9116.320313,95608700.0
2014-02-06,9166.459961,9274.459961,9128.969727,9256.580078,9256.580078,122685200.0
2014-02-07,9275.379883,9323.240234,9223.209961,9301.919922,9301.919922,89003400.0
2014-02-10,9331.709961,9346.129883,9280.179688,9289.860352,9289.860352,59599900.0
2014-02-11,9338.799805,9478.769531,9338.009766,9478.769531,9478.769531,76248400.0
2014-02-12,9505.120117,9594.849609,9501.959961,9540.0,9540.0,85292300.0
2014-02-13,9522.660156,9600.639648,9479.860352,9596.769531,9596.769531,93209100.0
2014-02-14,9615.519531,9677.530273,9593.370117,9662.400391,9662.400391,91504800.0
2014-02-17,9661.799805,9682.19043,9645.509766,9656.759766,9656.759766,45850100.0
2014-02-18,9674.799805,9690.969727,9614.400391,9659.780273,9659.780273,58827300.0
2014-02-19,9641.450195,9695.860352,9596.419922,9660.049805,9660.049805,72892900.0
2014-02-20,9524.580078,9618.849609,9504.179688,9618.849609,9618.849609,88676900.0
